Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","Battery-Holder-BH-123A_37.5P_1.8D_MH",136.103000,-61.064000,180.000000,top
"BZ1","Buzzer D=9mm P=5mm","Buzzer-TH_D9.6_P5",173.828000,-129.324000,-90.000000,top
"BZ2","PKMCS0909E4000","Buzzer_SPKR_PKMCS0909E4000-R1",161.490500,-129.074000,0.000000,top
"C1","10n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",114.271000,-110.999000,90.000000,top
"C2","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",118.203000,-110.926500,-90.000000,top
"C3","4.7u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",148.275000,-95.901500,-90.000000,top
"C4","4.7u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",142.775000,-96.601500,-90.000000,top
"C5","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",117.297200,-75.742800,180.000000,top
"C6","4.7u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",119.633000,-94.459000,0.000000,top
"C7","470n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",130.175000,-88.935000,0.000000,top
"C8","22u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",119.760000,-88.236000,0.000000,top
"C9","6.8p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",124.840000,-91.284000,-90.000000,top
"C10","15p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.803000,-122.064000,90.000000,top
"C11","15p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.803000,-118.089000,-90.000000,top
"C12","2.2u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",121.650000,-135.150000,-90.000000,top
"C13","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",119.703000,-135.101500,-90.000000,top
"C14","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",127.775081,-124.623326,-90.000000,top
"C15","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",138.600000,-117.983000,90.000000,top
