Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","Battery-Holder-BH-123A_37.5P_1.8D_MH",31.600000,87.800000,180.000000,top
"BZ1","Buzzer D=9mm P=5mm","Buzzer-TH_D9.6_P5",69.325000,19.540000,-90.000000,top
"BZ2","PKMCS0909E4000","Buzzer_SPKR_PKMCS0909E4000-R1",56.987500,19.790000,0.000000,top
"C1","10n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",9.768000,37.865000,90.000000,top
"C2","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",13.700000,37.937500,-90.000000,top
"C3","4.7u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",43.772000,52.962500,-90.000000,top
"C4","4.7u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",38.272000,52.262500,-90.000000,top
"C5","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",12.794200,73.121200,180.000000,top
"C6","4.7u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",15.130000,54.405000,0.000000,top
"C7","470n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",25.672000,59.929000,0.000000,top
"C8","22u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",15.257000,60.628000,0.000000,top
"C9","6.8p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",20.337000,57.580000,-90.000000,top
"C10","15p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",40.300000,26.800000,90.000000,top
"C11","15p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",40.300000,30.775000,-90.000000,top
"C12","2.2u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",17.147000,13.714000,-90.000000,top
"C13","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",15.200000,13.762500,-90.000000,top
"C14","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",23.272081,24.240674,-90.000000,top
"C15","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",34.097000,30.881000,90.000000,top
"C16","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",21.572081,24.203174,-90.000000,top
"C17","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",23.563800,33.802000,90.000000,top
"C18","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",25.494200,23.083200,-90.000000,top
"C19","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",20.977342,28.367447,-90.000000,top
"C20","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",22.677342,28.367447,-90.000000,top
"C21","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",28.462500,11.300000,0.000000,top
"C22","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",29.247000,34.464000,0.000000,top
"C23","100u","C_1206_3216Metric",70.960200,44.978000,180.000000,top
"C24","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",51.760000,56.512500,90.000000,top
"C25","4.7u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",58.560000,48.050000,0.000000,top
"C26","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",87.105000,60.220000,0.000000,top
"C27","100u","C_1206_3216Metric",82.865000,60.220000,180.000000,top
"C28","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",70.706900,42.387200,180.000000,top
"D1","BATT","LED_0805_2012Metric",1.700000,82.662500,-90.000000,top
"D2","5V","LED_0805_2012Metric",10.662500,25.800000,180.000000,top
"D3","SOD-323","D_SOD-323_HandSoldering",24.700000,42.800000,180.000000,top
"D4","SS14","D_SMA",26.450000,39.300000,180.000000,top
"D5","GRN/DONE","LED_0805_2012Metric",44.244000,61.960000,0.000000,top
"D6","RED/CHG","LED_0805_2012Metric",38.600000,62.060000,0.000000,top
"D7","BAT54C","SOT-23",30.330500,56.914000,180.000000,top
"D8","3V3","LED_0805_2012Metric",10.965400,22.168800,0.000000,top
"D9","RED/USER","LED_0805_2012Metric",12.900000,3.900000,0.000000,top
"D10","RED/INT","LED_0805_2012Metric",54.862500,36.700000,180.000000,top
"FB1","BLM18SP221SN1D","BLM18SP221SN1D_BEADC1608X95N",11.800000,37.865000,90.000000,top
"J1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",96.630000,72.920000,0.000000,top
"J2","JST_SH_SM03B","JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal",95.995000,61.490000,90.000000,top
"J3","USB4105-GF-A","GCT_USB4105-GF-A",2.547000,31.434000,-90.000000,top
"J4","S2B-PH-K-S_LF__SN_","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",5.653000,61.136000,-90.000000,top
"J5","Conn_02x05_Counter_Clockwise","PinHeader_2x05_P2.54mm_Vertical",91.550000,88.160000,0.000000,top
"J6","Conn_02x08_Counter_Clockwise","PinHeader_2x08_P2.54mm_Vertical",94.125000,33.040000,0.000000,top
"J7","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",96.630000,49.724000,180.000000,top
"J8","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",96.817400,39.390000,180.000000,top
"J9","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",59.400000,38.360000,180.000000,top
"J10","S2B-PH-K-S_LF__SN_","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",86.470000,5.610000,0.000000,top
"J11","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",85.835000,10.690000,90.000000,top
"L1","2.2uH","IND_SDER041H-2R2MS",10.834000,57.328000,90.000000,top
"Q1","PMOS","SOT-23",16.500000,35.400000,-90.000000,top
"Q2","AO3400A","SOT-23",19.668000,67.840000,180.000000,top
"Q3","AO3400A","SOT-23",15.656000,66.388000,0.000000,top
"Q4","AO3400A","SOT-23",33.116500,47.850000,180.000000,top
"Q5","AO3400A","SOT-23",34.323000,53.032500,-90.000000,top
"Q6","PMOS","SOT-23",46.200000,48.700000,-90.000000,top
"Q7","AO3400A","SOT-23",90.006000,28.940000,0.000000,top
"Q8","AO3400A","SOT-23",89.947000,24.914000,0.000000,top
"R1","5.1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.067000,33.192000,0.000000,top
"R2","5.1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.067000,29.636000,0.000000,top
"R3","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",1.380000,88.800000,-90.000000,top
"R4","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.800000,10.027600,-90.000000,top
"R5","2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",14.297000,23.964000,-90.000000,top
"R6","3K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.793500,56.280000,0.000000,top
"R7","2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.322500,64.500000,180.000000,top
"R8","2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",38.600000,64.600000,180.000000,top
"R9","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",5.600000,80.200000,90.000000,top
"R10","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",8.400000,80.200000,90.000000,top
"R11","2.2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",18.956000,75.088000,180.000000,top
"R12","5.1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",15.756000,70.888000,0.000000,top
"R13","5.1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.556000,70.888000,180.000000,top
"R14","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",30.768000,59.964000,0.000000,top
"R15","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",22.243000,57.932000,90.000000,top
"R16","200K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",18.432000,57.580000,-90.000000,top
"R17","44.2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",18.305000,53.643000,-90.000000,top
"R18","2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.625800,19.781200,0.000000,top
"R19","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",30.797000,17.964000,0.000000,top
"R20","200","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.647000,25.364000,0.000000,top
"R21","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.647000,23.214000,0.000000,top
"R22","200","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.697000,28.714000,0.000000,top
"R23","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",30.847000,15.964000,180.000000,top
"R24","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",48.550000,40.640000,-90.000000,top
"R25","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.200000,40.600000,-90.000000,top
"R26","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",37.300000,30.037500,0.000000,top
"R27","27","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.620200,32.328800,0.000000,top
"R28","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",80.755000,5.610000,90.000000,top
"R29","27","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.617200,30.228800,0.000000,top
"R30","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",36.297000,34.964000,-90.000000,top
"R31","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",38.297000,34.964000,-90.000000,top
"R32","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",50.575000,25.390000,90.000000,top
"R33","1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",31.691800,37.256400,90.000000,top
"R34","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",29.990000,49.550000,0.000000,top
"R35","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",30.066200,46.146400,180.000000,top
"R36","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",33.673000,57.170000,-90.000000,top
"R37","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",16.850000,3.900000,180.000000,top
"R38","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",40.700000,5.400000,90.000000,top
"R39","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",37.100000,44.900000,0.000000,top
"R40","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",37.100000,42.700000,180.000000,top
"R41","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",58.560000,45.850000,0.000000,top
"R42","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.900000,43.800000,0.000000,top
"R43","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",51.500000,43.800000,180.000000,top
"R44","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",50.575000,16.590000,-90.000000,top
"R45","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",58.530000,66.840000,-90.000000,top
"R46","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",61.480000,66.840000,-90.000000,top
"R47","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.430000,66.840000,-90.000000,top
"R48","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.597000,30.814000,0.000000,top
"R49","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.897000,46.214000,-90.000000,top
"SW2","BOOTSEL","SW_PUSH_6mm",60.435000,8.495000,0.000000,top
"SW3","RESET","SW_PUSH_6mm",71.155000,8.495000,0.000000,top
"SW4","USER_A","SW_PUSH_6mm",20.950000,8.650000,0.000000,top
